Linha Lexema               Token           Valor          
----- -------------------- --------------- ---------------
1     #                    DESCONHECIDO    #              
1     include              IDENTIFICADOR   None           
1     <                    OPERADOR        <              
1     ruby                 IDENTIFICADOR   None           
1     .                    DESCONHECIDO    .              
1     h                    IDENTIFICADOR   None           
1     >                    OPERADOR        >              
3     safira               PALAVRA-CHAVE   None           
3     main                 IDENTIFICADOR   None           
3     (                    DELIMITADOR     (              
3     )                    DELIMITADOR     )              
3     {                    DELIMITADOR     {              
4     safira               PALAVRA-CHAVE   None           
4     number               IDENTIFICADOR   None           
4     =                    OPERADOR        =              
4     7                    NUMERAL         7              
4     ;                    DELIMITADOR     ;              
5     diamante             PALAVRA-CHAVE   None           
5     decimal              IDENTIFICADOR   None           
5     =                    OPERADOR        =              
5     2                    NUMERAL         2              
5     .                    DESCONHECIDO    .              
5     5                    NUMERAL         5              
5     ;                    DELIMITADOR     ;              
6     esmeralda            PALAVRA-CHAVE   None           
6     letter               IDENTIFICADOR   None           
6     =                    OPERADOR        =              
6     '                    DESCONHECIDO    '              
6     Z                    IDENTIFICADOR   None           
6     '                    DESCONHECIDO    '              
6     ;                    DELIMITADOR     ;              
8     ametista             PALAVRA-CHAVE   None           
8     (                    DELIMITADOR     (              
8     "                    DESCONHECIDO    "              
8     Número               IDENTIFICADOR   None           
8     :                    DESCONHECIDO    :              
8     %                    DESCONHECIDO    %              
8     d                    IDENTIFICADOR   None           
8     \                    DESCONHECIDO    \              
8     n                    IDENTIFICADOR   None           
8     "                    DESCONHECIDO    "              
8     ,                    DELIMITADOR     ,              
8     number               IDENTIFICADOR   None           
8     )                    DELIMITADOR     )              
8     ;                    DELIMITADOR     ;              
9     ametista             PALAVRA-CHAVE   None           
9     (                    DELIMITADOR     (              
9     "                    DESCONHECIDO    "              
9     Decimal              IDENTIFICADOR   None           
9     :                    DESCONHECIDO    :              
9     %                    DESCONHECIDO    %              
9     .                    DESCONHECIDO    .              
9     2f                   DESCONHECIDO    2f             
9     \                    DESCONHECIDO    \              
9     n                    IDENTIFICADOR   None           
9     "                    DESCONHECIDO    "              
9     ,                    DELIMITADOR     ,              
9     decimal              IDENTIFICADOR   None           
9     )                    DELIMITADOR     )              
9     ;                    DELIMITADOR     ;              
10    ametista             PALAVRA-CHAVE   None           
10    (                    DELIMITADOR     (              
10    "                    DESCONHECIDO    "              
10    Letra                IDENTIFICADOR   None           
10    :                    DESCONHECIDO    :              
10    %                    DESCONHECIDO    %              
10    c                    IDENTIFICADOR   None           
10    \                    DESCONHECIDO    \              
10    n                    IDENTIFICADOR   None           
10    "                    DESCONHECIDO    "              
10    ,                    DELIMITADOR     ,              
10    letter               IDENTIFICADOR   None           
10    )                    DELIMITADOR     )              
10    ;                    DELIMITADOR     ;              
12    topazio              PALAVRA-CHAVE   None           
12    (                    DELIMITADOR     (              
12    number               IDENTIFICADOR   None           
12    >                    OPERADOR        >              
12    5                    NUMERAL         5              
12    )                    DELIMITADOR     )              
12    {                    DELIMITADOR     {              
13    ametista             PALAVRA-CHAVE   None           
13    (                    DELIMITADOR     (              
13    "                    DESCONHECIDO    "              
13    Número               IDENTIFICADOR   None           
13    é                    DESCONHECIDO    é              
13    maior                IDENTIFICADOR   None           
13    que                  IDENTIFICADOR   None           
